day,ticker,side,pool,entry,stop,target,rr_target,R,reason
2026-04-30,MSFT,long,PML,411.01,409.79,422.24,9.2,-1.0,stop
2026-05-01,AAPL,short,PMH,281.77,282.91,271.35,9.18,-1.0,stop
2026-05-01,MSFT,short,PDH,414.24,415.16,408.59,6.14,-1.0,stop
2026-05-05,SPY,short,PMH,722.2,722.49,718.69,12.12,-1.0,stop
2026-05-05,MSFT,short,PMH,415.35,416.99,413.48,1.14,1.14,target
2026-05-05,AMD,short,PMH,349.82,354.89,343.28,1.29,-1.0,stop
2026-05-06,AAPL,short,PMH,282.66,283.55,280.8,2.09,-1.0,stop
2026-05-06,TSLA,long,PML,388.03,384.0,392.87,1.2,1.2,target
2026-05-06,AMD,long,PML,405.29,401.84,432.49,7.88,4.69,close
2026-05-07,NVDA,short,PDH,207.81,208.53,206.97,1.18,-1.0,stop
2026-05-07,AMD,long,PML,413.11,411.79,426.6,10.25,-1.0,stop
2026-05-08,SPY,short,PDH,736.01,736.67,732.91,4.75,-1.0,stop
2026-05-08,MSFT,long,PML,416.51,415.99,422.65,11.85,-1.0,stop
2026-05-12,QQQ,long,PDL,708.38,708.28,712.76,40.03,-1.0,stop
2026-05-12,AAPL,short,PMH,293.63,294.12,291.1,5.2,-1.0,stop
2026-05-13,SPY,long,PML,737.38,736.42,738.84,1.51,1.51,target
2026-05-13,QQQ,long,PML,708.33,707.1,710.18,1.51,-1.0,stop
2026-05-13,NVDA,short,PMH,225.97,227.27,223.4,1.96,-1.0,stop
2026-05-13,TSLA,long,PML,433.25,431.65,440.19,4.33,4.33,target
2026-05-14,AAPL,long,PML,297.9,297.34,300.92,5.35,-1.0,stop
2026-05-14,NVDA,short,PMH,232.47,233.39,226.27,6.72,-1.0,stop
2026-05-14,TSLA,long,PML,445.1,443.25,452.08,3.76,-1.0,stop
2026-05-15,SPY,long,PML,739.63,738.23,746.36,4.79,-0.39,close
2026-05-15,QQQ,long,PML,707.49,705.2,719.25,5.13,0.61,close
2026-05-15,AMD,long,PML,431.23,426.55,450.82,4.2,-1.0,stop
2026-05-19,SPY,long,PML,734.86,733.45,739.33,3.18,-1.0,stop
2026-05-19,AAPL,short,PMH,297.25,298.24,294.91,2.35,-1.0,stop
2026-05-19,NVDA,short,PMH,222.25,223.13,218.88,3.85,3.85,target
2026-05-19,TSLA,long,PML,402.8,401.13,409.9,4.26,-1.0,stop
2026-05-19,MSFT,short,PMH,428.2,432.91,420.8,1.57,1.57,target
2026-05-20,SPY,short,PDH,737.64,738.91,732.5,4.04,-1.0,stop
2026-05-20,QQQ,short,PDH,705.95,707.16,700.49,4.5,-1.0,stop
2026-05-20,AMD,short,PMH,430.27,432.71,413.01,7.1,-1.0,stop
2026-05-21,MSFT,short,PDH,420.69,422.55,417.0,1.99,1.99,target
2026-05-22,QQQ,short,PMH,719.47,720.78,713.98,4.2,-1.0,stop
2026-05-22,TSLA,short,PDH,425.32,427.4,415.99,4.48,-1.0,stop
2026-05-22,AMD,short,PMH,467.46,471.51,453.69,3.4,-1.0,stop
2026-05-27,TSLA,short,PMH,443.11,444.92,433.08,5.54,-1.0,stop
2026-05-28,QQQ,short,PMH,730.13,731.49,725.44,3.48,-1.0,stop
2026-05-28,AAPL,short,PMH,311.35,312.35,309.08,2.26,-1.0,stop
2026-05-28,NVDA,short,PDH,212.9,214.33,209.21,2.59,-1.0,stop
2026-05-28,AMD,short,PMH,500.17,501.16,486.66,13.57,-1.0,stop
2026-05-29,SPY,short,PMH,756.43,757.1,754.85,2.36,-1.0,stop
2026-05-29,AAPL,short,PDH,312.21,313.16,310.28,2.04,-1.0,stop
2026-05-29,NVDA,long,PML,214.42,213.54,215.52,1.25,1.25,target
2026-05-29,TSLA,long,PML,438.9,437.33,441.68,1.77,-1.0,stop
2026-05-29,AMD,long,PML,518.83,516.48,525.45,2.82,-1.0,stop
2026-06-02,SPY,short,PMH,758.24,758.8,755.35,5.17,-1.0,stop
2026-06-02,MSFT,long,PML,445.19,444.42,460.52,19.71,-1.0,stop
2026-06-02,AMD,short,PMH,508.99,513.94,498.05,2.21,-1.0,stop
2026-06-03,AAPL,short,PDH,314.74,315.73,313.08,1.68,-1.0,stop
2026-06-04,SPY,short,PMH,752.83,753.53,749.8,4.31,-1.0,stop
2026-06-04,AAPL,long,PML,310.46,310.01,314.46,8.98,-1.0,stop
2026-06-05,QQQ,long,PML,730.83,728.76,740.05,4.48,-1.0,stop
2026-06-05,MSFT,long,PML,426.73,425.33,431.2,3.18,-1.0,stop
2026-06-09,QQQ,short,PDH,721.14,723.47,715.53,2.4,-1.0,stop
2026-06-09,NVDA,short,PMH,210.33,211.48,208.64,1.49,1.49,target
2026-06-09,TSLA,short,PMH,414.43,417.53,408.61,1.88,1.88,target
2026-06-09,MSFT,long,PML,409.35,407.25,412.76,1.62,-1.0,stop
2026-06-10,SPY,short,PMH,735.97,737.22,728.31,6.15,-1.0,stop
2026-06-10,QQQ,short,PMH,707.54,707.78,695.66,47.74,-1.0,stop
2026-06-10,AAPL,long,PDL,289.18,287.25,292.19,1.55,1.55,target
2026-06-10,NVDA,short,PMH,206.28,207.12,202.72,4.25,4.25,target
2026-06-10,TSLA,short,PMH,395.08,396.43,388.4,4.97,4.97,target
2026-06-10,MSFT,long,PDL,399.0,397.27,403.89,2.83,-1.0,stop
2026-06-10,AMD,short,PMH,470.98,473.44,456.09,6.05,-1.0,stop
2026-06-11,SPY,long,PML,725.69,724.9,731.83,7.69,7.69,target
2026-06-11,QQQ,short,PMH,704.21,705.35,694.21,8.76,-1.0,stop
2026-06-11,AAPL,long,PML,291.98,291.04,294.29,2.48,-1.0,stop
2026-06-11,NVDA,short,PMH,202.64,203.75,200.42,2.0,2.0,target
2026-06-11,TSLA,long,PML,382.08,381.91,389.9,47.11,-1.0,stop
2026-06-12,SPY,short,PDH,739.04,741.26,735.95,1.39,1.39,target
2026-06-12,QQQ,long,PML,714.17,710.99,718.37,1.32,1.32,target
2026-06-12,NVDA,short,PDH,205.29,206.1,203.16,2.62,-1.0,stop
2026-06-12,TSLA,short,PDH,399.83,401.0,395.71,3.5,3.5,target
2026-06-16,QQQ,long,PML,741.97,740.87,744.76,2.53,-1.0,stop
2026-06-16,AAPL,long,PML,294.71,294.17,297.32,4.86,4.86,target
2026-06-16,TSLA,long,PML,401.97,400.34,409.34,4.54,4.54,target
2026-06-16,MSFT,long,PDL,393.38,392.1,400.96,5.95,-1.0,stop
2026-06-17,SPY,long,PML,750.62,749.23,752.97,1.71,-1.0,stop
2026-06-17,QQQ,long,PML,732.05,730.88,736.66,3.95,-1.0,stop
2026-06-17,AAPL,short,PMH,300.56,302.22,298.28,1.37,1.37,target
2026-06-17,NVDA,long,PML,207.99,207.45,209.2,2.25,2.25,target
2026-06-17,TSLA,long,PML,401.22,400.15,405.0,3.55,-1.0,stop
2026-06-18,SPY,short,PMH,747.51,748.57,743.35,3.91,0.89,close
2026-06-18,QQQ,short,PMH,735.5,738.02,721.97,5.37,-1.0,stop
2026-06-18,AAPL,short,PMH,298.29,300.07,295.87,1.36,-1.0,stop
